index,id,title,url,duration_seconds,themes,assets
1,JzIfrGMeAFw,美股歷史新高，2026 下半年怎麼佈局？我選擇轉保守,https://www.youtube.com/watch?v=JzIfrGMeAFw,789.0,,
2,2avMoXe8Bwg,科技業工作 10 年後，我正式離開職場。沒薪水，錢從哪來？,https://www.youtube.com/watch?v=2avMoXe8Bwg,833.0,career_wealth,
3,NhJ1fqtsmc8,10 支價值投資股：是性價比，還是價值陷阱？,https://www.youtube.com/watch?v=NhJ1fqtsmc8,1065.0,index_or_factor,
4,_Y6jtxDItuM,SpaceX 砸 600 億收購 Cursor？揭露 Elon 背後的神操作,https://www.youtube.com/watch?v=_Y6jtxDItuM,738.0,equities_single_names,SpaceX
5,ZgnMCKbLiOg,把比特幣藏進一張卡片：CoolWallet Pro 冷錢包開箱＆實測,https://www.youtube.com/watch?v=ZgnMCKbLiOg,993.0,crypto,Bitcoin
6,T_6ItJrj-q4,35 個做空 Nvidia 的理由？擔心 AI 泡沫的你一定要看完,https://www.youtube.com/watch?v=T_6ItJrj-q4,1210.0,equities_single_names;macro_regime,NVDA / Nvidia
7,aQ7lcFoPnNA,$10 就能投資 SpaceX？分享另外 2 間我投資的公司,https://www.youtube.com/watch?v=aQ7lcFoPnNA,1043.0,equities_single_names,SpaceX
8,2-pNl3diL64,SpaceX IPO：史上最大賺錢機會？你敢接盤嗎？,https://www.youtube.com/watch?v=2-pNl3diL64,1164.0,equities_single_names,SpaceX
9,YWYDnDoHblc,一個人旅行，最自由｜大阪 vlog,https://www.youtube.com/watch?v=YWYDnDoHblc,991.0,travel_lifestyle,
10,XOtj2D5Hfhs,上線第 7 天 就遇到熊市？「創業不 all in，誰要跟你？」— HOYA BIT 霸氣老闆 Zoe Peng,https://www.youtube.com/watch?v=XOtj2D5Hfhs,2526.0,,
11,dNA7ZjFPQRM,矽谷大裁員的真相：AI 只是藉口,https://www.youtube.com/watch?v=dNA7ZjFPQRM,904.0,career_wealth,
12,8Ete4v-RaAQ,一口氣搞懂：加密貨幣最重要的 CLARITY 法案,https://www.youtube.com/watch?v=8Ete4v-RaAQ,798.0,crypto,
13,gj5gBsjYaF4,記憶體類股還可以買嗎？,https://www.youtube.com/watch?v=gj5gBsjYaF4,1042.0,,
14,tFoOnWuBql4,一次搞懂美元 50 年霸權的崩解！股市繼續創新高，該怎麼投資？,https://www.youtube.com/watch?v=tFoOnWuBql4,1131.0,macro_regime;learning_tools,
