index,id,title,url,duration_seconds,channel,channel_id,source_playlist_url
1,JzIfrGMeAFw,美股歷史新高，2026 下半年怎麼佈局？我選擇轉保守,https://www.youtube.com/watch?v=JzIfrGMeAFw,789.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
2,2avMoXe8Bwg,科技業工作 10 年後，我正式離開職場。沒薪水，錢從哪來？,https://www.youtube.com/watch?v=2avMoXe8Bwg,833.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
3,NhJ1fqtsmc8,10 支價值投資股：是性價比，還是價值陷阱？,https://www.youtube.com/watch?v=NhJ1fqtsmc8,1065.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
4,_Y6jtxDItuM,SpaceX 砸 600 億收購 Cursor？揭露 Elon 背後的神操作,https://www.youtube.com/watch?v=_Y6jtxDItuM,738.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
5,ZgnMCKbLiOg,把比特幣藏進一張卡片：CoolWallet Pro 冷錢包開箱＆實測,https://www.youtube.com/watch?v=ZgnMCKbLiOg,993.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
6,T_6ItJrj-q4,35 個做空 Nvidia 的理由？擔心 AI 泡沫的你一定要看完,https://www.youtube.com/watch?v=T_6ItJrj-q4,1210.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
7,aQ7lcFoPnNA,$10 就能投資 SpaceX？分享另外 2 間我投資的公司,https://www.youtube.com/watch?v=aQ7lcFoPnNA,1043.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
8,2-pNl3diL64,SpaceX IPO：史上最大賺錢機會？你敢接盤嗎？,https://www.youtube.com/watch?v=2-pNl3diL64,1164.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
9,YWYDnDoHblc,一個人旅行，最自由｜大阪 vlog,https://www.youtube.com/watch?v=YWYDnDoHblc,991.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
10,XOtj2D5Hfhs,上線第 7 天 就遇到熊市？「創業不 all in，誰要跟你？」— HOYA BIT 霸氣老闆 Zoe Peng,https://www.youtube.com/watch?v=XOtj2D5Hfhs,2526.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
11,dNA7ZjFPQRM,矽谷大裁員的真相：AI 只是藉口,https://www.youtube.com/watch?v=dNA7ZjFPQRM,904.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
12,8Ete4v-RaAQ,一口氣搞懂：加密貨幣最重要的 CLARITY 法案,https://www.youtube.com/watch?v=8Ete4v-RaAQ,798.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
13,gj5gBsjYaF4,記憶體類股還可以買嗎？,https://www.youtube.com/watch?v=gj5gBsjYaF4,1042.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
14,tFoOnWuBql4,一次搞懂美元 50 年霸權的崩解！股市繼續創新高，該怎麼投資？,https://www.youtube.com/watch?v=tFoOnWuBql4,1131.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
15,GHBP2FS9tBc,特斯拉 $250億 的世紀豪賭，壯舉還是災難？,https://www.youtube.com/watch?v=GHBP2FS9tBc,1160.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
16,XJtbWhnclB4,全球財富正在輪動，經典的資產配置法則已經不適用？,https://www.youtube.com/watch?v=XJtbWhnclB4,810.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
17,kUtyH9Lh17c,通貨膨脹 30% 的土耳其，值得去嗎？,https://www.youtube.com/watch?v=kUtyH9Lh17c,947.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
18,rF5thvdRjnE,我在Threads被炎上了,https://www.youtube.com/watch?v=rF5thvdRjnE,894.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
19,ceafmSAe9P8,辭掉高薪：女神分享AI新創心路歷程，大推台灣工程師,https://www.youtube.com/watch?v=ceafmSAe9P8,2897.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
20,51dNGqLoM00,專業開箱 土耳其航空 商務艙✈️,https://www.youtube.com/watch?v=51dNGqLoM00,792.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
21,9Ecx6g8ez1k,當我以為我是絕命毒師,https://www.youtube.com/watch?v=9Ecx6g8ez1k,573.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
22,8dDTVbDg55w,台灣 G公司 主管分享：如何40歲累積破億台幣資產,https://www.youtube.com/watch?v=8dDTVbDg55w,3411.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
23,j-6Pgl55e_w,AI 即將抹去股市 75% 財富？,https://www.youtube.com/watch?v=j-6Pgl55e_w,961.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
24,VFTEpnDyFSg,我把現金都放那了,https://www.youtube.com/watch?v=VFTEpnDyFSg,714.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
25,cmGxNTazyd4,學霸女神：艱辛的矽谷跳槽經驗 @aliceinsiliconwonderland,https://www.youtube.com/watch?v=cmGxNTazyd4,1875.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
26,p2E0OyTKDv4,工程師面試 Bar 變高了？如何在面試中拿 Strong Hire,https://www.youtube.com/watch?v=p2E0OyTKDv4,1516.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
27,XGveb2bQhAI,AI 寫 Code 這麼強，工程師要怎麼生存？@kellytsaii,https://www.youtube.com/watch?v=XGveb2bQhAI,1455.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
28,Q59J5roE5lM,為什麼你投資賺不到錢？該選股還是投大盤？,https://www.youtube.com/watch?v=Q59J5roE5lM,1346.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
29,hh_oZm9kS24,世界正式進入「無規則」混亂期，台灣成為博弈的紅線？Ray Dalio 揭露美中的黑洞邏輯,https://www.youtube.com/watch?v=hh_oZm9kS24,898.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
30,_7lpGM5X8d8,軟體工程已死？AI 時代還要讀資工嗎？,https://www.youtube.com/watch?v=_7lpGM5X8d8,1504.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
31,WtLdnzwpZ8Y,我又回西雅圖了，處理我的房子,https://www.youtube.com/watch?v=WtLdnzwpZ8Y,1044.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
